"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","709.53","","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","739.22","","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","751.95","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","773.98","","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","782.07","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","787.82","","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","815.10","","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","821.25","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","809.76","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","822.01","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","887.85","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","884.58","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","913.37","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","930.14","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","952.98","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","925.36","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","949.21","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","957.92","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","953.17","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","1057.58","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","1057.88","B","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","1063.89","B","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","1089.06","B","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Transportation and warehousing [48-49]","Current dollars","75","units","0","v1741263","4.1.1.215","1126.31","B","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","682.79","","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","733.88","","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","738.90","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","754.33","","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","809.91","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Information and cultural industries [51]","Current dollars","75","units","0","v13922940","4.1.1.253","866.91","","","","2"
