"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","95.1","","","","1"
"2005","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","104.1","","","","1"
"2006","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","104.6","","","","1"
"2007","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","113.6","","","","1"
"2008","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","109.8","","","","1"
"2009","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","110.5","","","","1"
"2010","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","112.3","","","","1"
"2011","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","118.1","","","","1"
"2012","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","117.1","","","","1"
"2013","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","119.1","","","","1"
"2014","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","123.5","","","","1"
"2015","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","122.1","","","","1"
"2016","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","120.3","","","","1"
"2017","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","124.1","","","","1"
"2018","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","130.4","","","","1"
"2019","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","127.5","","","","1"
"2020","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","113.8","","","","1"
"2021","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","111.8","","","","1"
"2022","Ontario","2021A000235","Part-time employment","Educational services [61]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366518","7.4.23.1.1","125.3","","","","1"
